PNU,JIBUN,BCHK,SGG_OID,COL_ADM_SE,F_SHIM,F_AREA,ADM_CD,F_YR,F_ZONE_NM,F_ZONE_NM2,TYPE,F_DISA_NM,F_AVR_HGT,F_SAT_YMD,F_END_YMD,F_SAT_TM,F_END_TM,F_RSN_DTL,INV_YR,layer,path,geometry
"1174010900103820009","382-9대","1","123538","11740","0.01","46.39","1174010900","2024","강동구 천호동 382-9","강동구 구천면로33길 40-2","주택","7. 8.~7. 19. 호우","18.35593964","20240717","20240717","1","24","내수침수","2024","FL_CHIMWL_강동구_0708_0719","D:/김원상/침수흔적도/2024_침수흔적도_최종/강동구_0708_0719/FL_CHIMWL_강동구_0708_0719.shp","{""type"":""Polygon"",""coordinates"":[[[211397.2762309821,549250.3935711838],[211396.67231045713,549245.7975987808],[211396.19437609424,549241.9916219957],[211383.2264479613,549244.0163950091],[211385.34728713485,549252.8693573917],[211397.2762309821,549250.3935711838]]]}"
"1174010900101870007","187-7대","1","125005","11740","0.01","48.49","1174010900","2024","강동구 천호동 187-7","강동구 성안로31길 57-9","주택","7. 8.~7. 19. 호우","27.63392426","20240717","20240717","1","24","내수침수","2024","FL_CHIMWL_강동구_0708_0719","D:/김원상/침수흔적도/2024_침수흔적도_최종/강동구_0708_0719/FL_CHIMWL_강동구_0708_0719.shp","{""type"":""Polygon"",""coordinates"":[[[211772.28535556485,549056.1862392237],[211774.24240572262,549052.1233040444],[211782.10731773687,549053.6324194524],[211783.60130087336,549053.9284412999],[211785.09447540418,549042.434559036],[211775.506537572,549043.372395747],[211772.49137617432,549054.8142537251],[211770.23839216802,549054.949216052],[211770.15337256523,549056.1992045033],[211772.28535556485,549056.1862392237]]]}"
"1174010900103860010","386-10대","1","121662","11740","0.01","10.78","1174010900","2024","강동구 천호동 386-10","강동구 천중로18길 47","주택","7. 8.~7. 19. 호우","19.79689766","20240719","20240719","1","24","내수침수","2024","FL_CHIMWL_강동구_0708_0719","D:/김원상/침수흔적도/2024_침수흔적도_최종/강동구_0708_0719/FL_CHIMWL_강동구_0708_0719.shp","{""type"":""Polygon"",""coordinates"":[[[211465.86546297875,549263.5825772983],[211474.59643319214,549261.0737394531],[211472.1586273569,549250.3247873496],[211471.59966543972,549248.2567951055],[211462.0167043453,549250.627620243],[211462.85465217836,549253.4246110833],[211465.86546297875,549263.5825772983]]]}"
"1174010900103210047","321-47대","1","115807","11740","0.01","57.06","1174010900","2024","강동구 천호동 321-47","강동구 올림픽로89길 23","주택","7. 8.~7. 19. 호우","16.73129059","20240717","20240717","1","24","내수침수","2024","FL_CHIMWL_강동구_0708_0719","D:/김원상/침수흔적도/2024_침수흔적도_최종/강동구_0708_0719/FL_CHIMWL_강동구_0708_0719.shp","{""type"":""Polygon"",""coordinates"":[[[211058.13118040486,549791.9596565231],[211064.4311585543,549790.1687733859],[211065.46219641628,549787.3228132993],[211058.78240185554,549777.9927808479],[211051.94735798833,549784.0986201585],[211058.13118040486,549791.9596565231]]]}"
"1174010900103620044","362-44대","1","121621","11740","0.01","75.74","1174010900","2024","강동구 천호동 362-44","강동구 천중로16길 46-8","주택","7. 8.~7. 19. 호우","17.9301889","20240717","20240717","1","24","내수침수","2024","FL_CHIMWL_강동구_0708_0719","D:/김원상/침수흔적도/2024_침수흔적도_최종/강동구_0708_0719/FL_CHIMWL_강동구_0708_0719.shp","{""type"":""Polygon"",""coordinates"":[[[211324.4982005606,549288.4810797948],[211326.85816268733,549289.6401086726],[211338.07819037192,549282.3513501262],[211331.54738739782,549273.4623164585],[211319.63836057347,549281.0410614603],[211321.06831347808,549283.2310668471],[211324.4982005606,549288.4810797948]]]}"
"1174010900103610034","361-34대","1","121577","11740","0.01","61.89","1174010900","2024","강동구 천호동 361-34","강동구 천중로 60-14","주택","7. 8.~7. 19. 호우","17.38296677","20240719","20240719","1","24","내수침수","2024","FL_CHIMWL_강동구_0708_0719","D:/김원상/침수흔적도/2024_침수흔적도_최종/강동구_0708_0719/FL_CHIMWL_강동구_0708_0719.shp","{""type"":""Polygon"",""coordinates"":[[[211333.99843068534,549454.3988835294],[211347.05538314057,549450.8301245422],[211343.11963651958,549437.1791717684],[211330.4806818077,549440.6789380994],[211333.5854601391,549452.7898899191],[211333.99843068534,549454.3988835294]]]}"
"1132010500103160001","316-1대","1","85680","11320","0.3","215","1132010500","2024","도봉구 쌍문동 316-1","도봉구 노해로 174","상가","7. 26.~7. 27. 호우","51.87505798","20240727","20240727","1","13","내수침수","2024","FL_CHIMWL_도봉구_0726_0727","D:/김원상/침수흔적도/2024_침수흔적도_최종/도봉구_0726_0727/FL_CHIMWL_도봉구_0726_0727.shp","{""type"":""Polygon"",""coordinates"":[[[202488.547679387,561149.7601766671],[202491.4676782527,561148.350235775],[202490.60775579937,561144.0102577939],[202487.98799493795,561130.610326354],[202487.60805359783,561127.1903485422],[202487.41809543027,561124.7103660145],[202487.31811719845,561123.4203750908],[202487.0581966257,561118.6604103359],[202486.95821969394,561117.2904200694],[202486.3983485157,561109.6404744069],[202482.6783520126,561111.3104001504],[202467.34834664344,561119.4100840525],[202477.9580096054,561134.7901288203],[202482.45787027953,561141.0901496591],[202488.547679387,561149.7601766671]]]}"
"1132010600106450025","645-25 대","1","91330","11320","0.3","180","1132010600","2024","도봉구 방학동 645-25","도봉구 도봉로153길 51","상가","7. 26.~7. 27. 호우","26.63672905","20240727","20240727","1","13","내수침수","2024","FL_CHIMWL_도봉구_0726_0727","D:/김원상/침수흔적도/2024_침수흔적도_최종/도봉구_0726_0727/FL_CHIMWL_도봉구_0726_0727.shp","{""type"":""Polygon"",""coordinates"":[[[203576.90272982823,563364.499488252],[203579.0127469135,563362.3795401679],[203578.95301716786,563345.7896769188],[203565.56312814634,563345.7494595058],[203565.61282269057,563364.5093045719],[203576.90272982823,563364.499488252]]]}"
"1144012400102240018","224-18대","1","177504","11440","0.1","200.73","1144012400","2024","마포구 연남동 224-18","마포구 동교로 282","상가","7. 22.~7. 23. 호우","18.14371262","20240723","20240723","14","24","내수침수","2024","FL_CHIMWL_마포구_0722_0723","D:/김원상/침수흔적도/2024_침수흔적도_최종/마포구_0722_0723/FL_CHIMWL_마포구_0722_0723.shp","{""type"":""Polygon"",""coordinates"":[[[193526.78525137468,551632.2940726706],[193519.6054288562,551624.9340179326],[193513.29538727002,551630.7338683229],[193518.02526469226,551635.9339014735],[193522.905221721,551636.1139785761],[193526.78525137468,551632.2940726706]]]}"
"1144012400103840011","384-11대","1","178053","11440","0.1","30","1144012400","2024","마포구 연남동 384-11","마포구 동교로46길 24-5","상가","7. 22.~7. 23. 호우","14.89534435","20240723","20240723","18","24","내수침수","2024","FL_CHIMWL_마포구_0722_0723","D:/김원상/침수흔적도/2024_침수흔적도_최종/마포구_0722_0723/FL_CHIMWL_마포구_0722_0723.shp","{""type"":""Polygon"",""coordinates"":[[[193459.8094693517,551404.5048785646],[193472.9193918288,551402.6351051443],[193471.9395227312,551395.0051524837],[193459.13959577505,551396.9949299031],[193459.8094693517,551404.5048785646]]]}"
